VTX	 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
580	237	0.92522	-15.79504	4.56046	5.0591
581	236	-2.70771	-29.58532	30.63918	31.13036
582	238	15.55379	-39.39734	49.19463	49.68051
583	239	21.64346	-39.48454	49.35954	49.84538
584	240	21.53329	-61.65478	91.28557	91.75941
585	240	21.53329	-61.65478	91.28557	91.75941
586	239	21.64346	-39.48454	49.35954	49.84538
587	241	27.04947	-61.7081	91.3864	91.86021
588	241	27.04947	-61.7081	91.3864	91.86021
589	242	43.87589	-39.8028	49.96143	50.4471
590	243	47.18819	-61.90277	91.75455	92.22827
591	239	21.64346	-39.48454	49.35954	49.84538
592	242	43.87589	-39.8028	49.96143	50.4471
593	241	27.04947	-61.7081	91.3864	91.86021
594	239	21.64346	-39.48454	49.35954	49.84538
595	244	40.60981	-30.11156	31.63437	32.12526
596	242	43.87589	-39.8028	49.96143	50.4471
597	238	15.55379	-39.39734	49.19463	49.68051
598	245	18.92055	-29.88287	31.20187	31.6929
599	239	21.64346	-39.48454	49.35954	49.84538
600	245	18.92055	-29.88287	31.20187	31.6929
601	244	40.60981	-30.11156	31.63437	32.12526
602	239	21.64346	-39.48454	49.35954	49.84538
603	245	18.92055	-29.88287	31.20187	31.6929
604	246	35.76276	-15.67135	4.32655	4.82527
605	244	40.60981	-30.11156	31.63437	32.12526
606	247	12.97968	-29.82026	31.08348	31.57454
607	245	18.92055	-29.88287	31.20187	31.6929
608	238	15.55379	-39.39734	49.19463	49.68051
609	248	14.9485	-15.8764	4.71432	5.21292
610	246	35.76276	-15.67135	4.32655	4.82527
611	245	18.92055	-29.88287	31.20187	31.6929
612	247	12.97968	-29.82026	31.08348	31.57454
613	248	14.9485	-15.8764	4.71432	5.21292
614	245	18.92055	-29.88287	31.20187	31.6929
615	249	9.22466	-15.84956	4.66356	5.16217
616	248	14.9485	-15.8764	4.71432	5.21292
617	247	12.97968	-29.82026	31.08348	31.57454
618	250	74.08527	-61.71995	91.40884	91.88266
619	251	47.18819	-61.90277	91.75455	92.22827
620	252	66.71428	-40.44991	51.18518	51.67049
621	252	66.71428	-40.44991	51.18518	51.67049
622	251	47.18819	-61.90277	91.75455	92.22827
623	253	43.87589	-39.8028	49.96143	50.4471
624	252	66.71428	-40.44991	51.18518	51.67049
625	253	43.87589	-39.8028	49.96143	50.4471
626	254	63.31205	-30.37847	32.13913	32.62988
627	254	63.31205	-30.37847	32.13913	32.62988
628	253	43.87589	-39.8028	49.96143	50.4471
629	255	40.60981	-30.11156	31.63437	32.12526
630	254	63.31205	-30.37847	32.13913	32.62988
631	255	40.60981	-30.11156	31.63437	32.12526
632	256	58.34901	-15.68659	4.35541	4.85411
633	256	58.34901	-15.68659	4.35541	4.85411
634	255	40.60981	-30.11156	31.63437	32.12526
635	257	35.76276	-15.67135	4.32655	4.82527
636	258	15.55379	-39.39734	49.19463	49.68051
637	259	9.60822	-39.30476	49.01955	49.50548
638	260	12.97968	-29.82026	31.08348	31.57454
639	260	12.97968	-29.82026	31.08348	31.57454
640	259	9.60822	-39.30476	49.01955	49.50548
641	261	7.8323	-29.75471	30.9595	31.45061
642	262	12.97968	-29.82026	31.08348	31.57454
643	263	7.8323	-29.75471	30.9595	31.45061
644	264	9.22466	-15.84956	4.66356	5.16217
645	264	9.22466	-15.84956	4.66356	5.16217
646	263	7.8323	-29.75471	30.9595	31.45061
647	265	5.24163	-15.82341	4.61409	5.11272
648	266	9.60822	-39.30476	49.01955	49.50548
649	267	3.16502	-39.20448	48.82993	49.31592
650	268	7.8323	-29.75471	30.9595	31.45061
651	268	7.8323	-29.75471	30.9595	31.45061
652	267	3.16502	-39.20448	48.82993	49.31592
653	269	2.25407	-29.68362	30.82506	31.31619
654	270	7.8323	-29.75471	30.9595	31.45061
655	271	2.25407	-29.68362	30.82506	31.31619
656	272	5.24163	-15.82341	4.61409	5.11272
657	272	5.24163	-15.82341	4.61409	5.11272
658	271	2.25407	-29.68362	30.82506	31.31619
659	273	0.92522	-15.79504	4.56046	5.0591
660	274	9.82017	3.22383	-31.40604	-30.89709
661	275	-0.88008	3.508	-31.94342	-31.43436
662	276	17.65786	47.00934	-114.20856	-113.67596
663	276	17.65786	47.00934	-114.20856	-113.67596
664	275	-0.88008	3.508	-31.94342	-31.43436
665	277	4.60703	47.32826	-114.81171	-114.27893
666	278	1.42472	91.03693	-197.46887	-196.91251
667	279	19.79742	90.76347	-196.95175	-196.39554
668	280	4.60703	47.32826	-114.81171	-114.27893
669	280	4.60703	47.32826	-114.81171	-114.27893
670	279	19.79742	90.76347	-196.95175	-196.39554
671	281	17.65786	47.00934	-114.20856	-113.67596
672	282	35.50286	134.67119	-279.98538	-279.40543
673	283	19.79742	90.76347	-196.95175	-196.39554
674	284	0.29385	134.76836	-280.16913	-279.58911
675	284	0.29385	134.76836	-280.16913	-279.58911
676	283	19.79742	90.76347	-196.95175	-196.39554
677	285	1.42472	91.03693	-197.46887	-196.91251
678	286	26.55307	165.56517	-338.40878	-337.81216
679	287	-2.10243	165.77422	-338.80417	-338.20737
680	288	14.88641	224.12041	-449.1423	-448.51401
681	288	14.88641	224.12041	-449.1423	-448.51401
682	287	-2.10243	165.77422	-338.80417	-338.20737
