VTX	 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
122	80	17.71908	-5.45888	12.69947	13.19578
123	80	17.71908	-5.45888	12.69947	13.19578
124	79	17.65708	-5.39245	12.70044	13.19675
125	81	17.71865	-5.39865	12.69896	13.19527
126	82	17.71908	-5.45888	12.69947	13.19578
127	83	17.71753	-5.53384	12.68535	13.18166
128	84	17.65186	-5.45204	12.70109	13.1974
129	84	17.65186	-5.45204	12.70109	13.1974
130	83	17.71753	-5.53384	12.68535	13.18166
131	85	17.64257	-5.52613	12.68716	13.18347
132	86	17.64257	-5.52613	12.68716	13.18347
133	87	17.57545	-5.50093	12.68931	13.18562
134	88	17.65186	-5.45204	12.70109	13.1974
135	88	17.65186	-5.45204	12.70109	13.1974
136	87	17.57545	-5.50093	12.68931	13.18562
137	89	17.59232	-5.42968	12.70299	13.1993
138	90	17.65186	-5.45204	12.70109	13.1974
139	91	17.59232	-5.42968	12.70299	13.1993
140	92	17.65708	-5.39245	12.70044	13.19675
141	92	17.65708	-5.39245	12.70044	13.19675
142	91	17.59232	-5.42968	12.70299	13.1993
143	93	17.60305	-5.37215	12.70217	13.19848
144	94	17.59232	-5.42968	12.70299	13.1993
145	95	17.53573	-5.39225	12.70526	13.20157
146	96	17.60305	-5.37215	12.70217	13.19848
147	96	17.60305	-5.37215	12.70217	13.19848
148	95	17.53573	-5.39225	12.70526	13.20157
149	97	17.55171	-5.33819	12.70423	13.20054
150	98	17.57545	-5.50093	12.68931	13.18562
151	99	17.51165	-5.45874	12.69187	13.18818
152	100	17.59232	-5.42968	12.70299	13.1993
153	100	17.59232	-5.42968	12.70299	13.1993
154	99	17.51165	-5.45874	12.69187	13.18818
155	101	17.53573	-5.39225	12.70526	13.20157
156	102	17.51165	-5.45874	12.69187	13.18818
157	103	17.45271	-5.40081	12.69479	13.1911
158	104	17.53573	-5.39225	12.70526	13.20157
159	104	17.53573	-5.39225	12.70526	13.20157
160	103	17.45271	-5.40081	12.69479	13.1911
161	105	17.48345	-5.34085	12.70784	13.20415
162	106	17.53573	-5.39225	12.70526	13.20157
163	107	17.48345	-5.34085	12.70784	13.20415
164	108	17.55171	-5.33819	12.70423	13.20054
165	108	17.55171	-5.33819	12.70423	13.20054
166	107	17.48345	-5.34085	12.70784	13.20415
167	109	17.50427	-5.29155	12.70657	13.20288
168	110	17.48345	-5.34085	12.70784	13.20415
169	111	17.43682	-5.2766	12.71067	13.20698
170	112	17.50427	-5.29155	12.70657	13.20288
171	112	17.50427	-5.29155	12.70657	13.20288
172	111	17.43682	-5.2766	12.71067	13.20698
173	113	17.46197	-5.23324	12.70913	13.20544
174	114	17.48345	-5.34085	12.70784	13.20415
175	115	17.40015	-5.32837	12.69798	13.19429
176	111	17.43682	-5.2766	12.71067	13.20698
177	116	17.45271	-5.40081	12.69479	13.1911
178	115	17.40015	-5.32837	12.69798	13.19429
179	114	17.48345	-5.34085	12.70784	13.20415
180	117	17.40015	-5.32837	12.69798	13.19429
181	118	17.35518	-5.24339	12.70138	13.19769
182	119	17.43682	-5.2766	12.71067	13.20698
183	119	17.43682	-5.2766	12.71067	13.20698
184	118	17.35518	-5.24339	12.70138	13.19769
185	120	17.39693	-5.2012	12.71368	13.20999
186	119	17.43682	-5.2766	12.71067	13.20698
187	121	17.39693	-5.2012	12.71368	13.20999
188	122	17.46197	-5.23324	12.70913	13.20544
189	122	17.46197	-5.23324	12.70913	13.20544
190	121	17.39693	-5.2012	12.71368	13.20999
191	123	17.42577	-5.16482	12.71186	13.20816
192	124	17.39693	-5.2012	12.71368	13.20999
193	125	17.36483	-5.1164	12.71679	13.2131
194	126	17.42577	-5.16482	12.71186	13.20816
195	126	17.42577	-5.16482	12.71186	13.20816
196	125	17.36483	-5.1164	12.71679	13.2131
197	127	17.39665	-5.08788	12.71468	13.21098
198	128	17.39693	-5.2012	12.71368	13.20999
199	129	17.31899	-5.1478	12.70489	13.2012
200	125	17.36483	-5.1164	12.71679	13.2131
201	130	17.35518	-5.24339	12.70138	13.19769
202	129	17.31899	-5.1478	12.70489	13.2012
203	128	17.39693	-5.2012	12.71368	13.20999
204	131	17.31899	-5.1478	12.70489	13.2012
205	132	17.29238	-5.04408	12.70844	13.20475
206	133	17.36483	-5.1164	12.71679	13.2131
207	133	17.36483	-5.1164	12.71679	13.2131
208	132	17.29238	-5.04408	12.70844	13.20475
209	134	17.34123	-5.02439	12.71994	13.21624
210	135	17.36483	-5.1164	12.71679	13.2131
211	136	17.34123	-5.02439	12.71994	13.21624
212	137	17.39665	-5.08788	12.71468	13.21098
213	137	17.39665	-5.08788	12.71468	13.21098
214	136	17.34123	-5.02439	12.71994	13.21624
215	138	17.37524	-5.00439	12.71752	13.21383
216	139	17.34123	-5.02439	12.71994	13.21624
217	140	17.3268	-4.92734	12.72302	13.21933
218	141	17.37524	-5.00439	12.71752	13.21383
219	141	17.37524	-5.00439	12.71752	13.21383
220	140	17.3268	-4.92734	12.72302	13.21933
221	142	17.36215	-4.91634	12.72032	13.21663
222	139	17.34123	-5.02439	12.71994	13.21624
223	143	17.27611	-4.93469	12.71193	13.20824
224	144	17.3268	-4.92734	12.72302	13.21933
225	145	17.29238	-5.04408	12.70844	13.20475
226	143	17.27611	-4.93469	12.71193	13.20824
227	139	17.34123	-5.02439	12.71994	13.21624
228	146	17.27611	-4.93469	12.71193	13.20824
